symbol,fecha_inicio,fecha_fin,dias,registros_esperados,registros_actuales,faltantes,cobertura_%
ADA,2025-01-01 00:00:00,2025-12-20 14:45:00,353.6,509206,509206,0,100.0
BNB,2025-03-02 12:08:00,2025-12-20 14:45:00,293.1,422078,422078,0,100.0
BTC,2025-01-01 00:00:00,2025-12-20 14:45:00,353.6,509206,509206,0,100.0
DOGE,2025-03-02 12:08:00,2025-12-20 14:45:00,293.1,422078,422078,0,100.0
DOT,2025-01-01 00:00:00,2025-12-20 14:45:00,353.6,509206,509206,0,100.0
ETH,2025-01-01 00:00:00,2025-12-20 14:45:00,353.6,509206,509206,0,100.0
LTC,2025-03-02 12:08:00,2025-12-20 14:45:00,293.1,422078,422078,0,100.0
PEPE,2025-03-02 12:08:00,2025-12-20 14:45:00,293.1,422078,422078,0,100.0
SHIB,2025-01-01 00:00:00,2025-12-20 14:45:00,353.6,509206,509206,0,100.0
SOL,2025-03-02 12:08:00,2025-12-20 14:45:00,293.1,422078,422079,-1,100.0
XRP,2025-03-02 12:08:00,2025-12-20 14:45:00,293.1,422078,422079,-1,100.0
