symbol,registros_restantes,fecha_min,fecha_max
ADA,90995,2025-01-01 00:00:00,2025-12-20 07:45:00
BNB,284862,2025-03-02 12:08:00,2025-10-10 21:20:00
BTC,503521,2025-01-01 00:00:00,2025-12-20 07:45:00
DOGE,265972,2025-03-02 12:08:00,2025-12-20 07:45:00
DOT,503568,2025-01-01 00:00:00,2025-12-20 07:45:00
ETH,503592,2025-01-01 00:00:00,2025-12-20 07:45:00
LTC,265967,2025-03-02 12:08:00,2025-12-20 07:45:00
PEPE,266004,2025-03-02 12:08:00,2025-12-20 07:45:00
SHIB,503575,2025-01-01 00:00:00,2025-12-20 07:45:00
SOL,175971,2025-03-02 12:08:00,2025-07-15 01:20:00
XRP,216518,2025-03-02 12:08:00,2025-12-20 07:45:00
